fullpath,iliac_artery_left,iliac_artery_right,pulmonary_artery,aorta,kidney_left,kidney_right,heart_myocardium,heart_atrium_left,heart_atrium_right,heart_ventricle_left,heart_ventricle_right,portal_vein_and_splenic_vein,liver,urinary_bladder,inferior_vena_cava,iliac_vena_left,iliac_vena_right,iliac_artery_left.1,iliac_artery_right.1,pulmonary_artery.1,aorta.1,kidney_left.1,kidney_right.1,heart_myocardium.1,heart_atrium_left.1,heart_atrium_right.1,heart_ventricle_left.1,heart_ventricle_right.1,portal_vein_and_splenic_vein.1,liver.1,urinary_bladder.1,inferior_vena_cava.1,iliac_vena_left.1,iliac_vena_right.1,GT
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00020_14_5X5_AXIAL_Body_5__resized.nii.gz,393.84,421.79,285.48,429.68,182.82,184.35,88.36,448.72,183.22,263.89,202.9,123.35,68.68,32.07,92.38,55.86,61.78,172.7870919,192.2549158,78.69293598,104.5403611,57.0068171,58.43548164,106.6402644,74.21980637,112.6165398,121.6676047,80.74176239,46.45002626,17.06717432,27.87734389,38.27660208,39.66439616,44.70489328,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00020_17_2X1_LUNG_Lung_2__resized.nii.gz,369.95,361.67,141.72,340.76,150.75,156.36,110.57,242.68,132.81,215.33,138.81,138.79,73.81,13.94,99.98,49.18,48.19,134.4990425,102.0936903,20.18976486,77.03084621,66.15581091,65.96331383,59.58850941,43.92767598,84.57565198,63.22137789,36.88149458,68.64002634,22.54706587,24.72520717,40.40580379,25.84760681,32.36686599,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00020_19_2X1_STND_Body_2__resized.nii.gz,375.13,366.32,138.21,352.88,150.46,156.27,108.7,245.56,129.33,218.13,137,134.96,72.55,12.27,97.47,47.04,45.49,128.6444829,102.3304263,17.40193636,77.07778623,61.40119479,61.35852701,58.79021939,42.71494198,83.69805341,63.9843522,34.07635377,63.16198371,17.29098245,19.54363592,36.33795202,22.68349943,29.80865764,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00021_15_5X5_AXIAL_Body_5__resized.nii.gz,444.87,464.488,383.58,380.92,182.77,175.92,145.19,409.78,232.38,355.3,294.45,176.83,69.33,28.258,142.44,53.104,55.674,195.8397737,216.733875,94.44165027,70.9003234,63.95315884,61.47614794,98.25041608,72.55731272,79.05590219,77.41378837,93.39975968,47.56607638,18.85292932,37.32205803,56.03035957,40.93620321,38.37077064,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00021_16_2X1_LUNG_Lung_2__resized.nii.gz,444.87,464.488,406.05,372.09,195.31,189.23,139.96,400.18,243.02,340.09,296.33,212.79,70.97,28.258,148.41,53.104,55.674,195.8397737,216.733875,102.7687427,82.35655984,93.59854084,93.61068084,105.081917,78.14558207,79.81693428,91.63220364,106.6050408,85.78685906,45.59368657,37.32205803,76.46915699,40.93620321,38.37077064,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00021_17_2X1_LUNG_Lung_2__resized.nii.gz,399.1,388.55,92.31,320.94,132.17,115.17,87.71,167.31,75.3,181.47,88.05,69.99,57.51,24.22,60.86,36.11,38.16,218.8178399,209.3329902,20.21367124,118.5335657,68.49855313,75.32972459,66.9084808,31.09711321,133.798147,49.6791983,48.06543628,44.57462706,25.32388114,35.56380844,36.62169275,41.40068208,42.9870084,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00021_19_2X1_STND_Body_2__resized.nii.gz,405.2,396.64,89.81,329.35,131.26,113.55,86.24,166.33,71.98,182.02,86.17,66.07,56.5,22.61,58.2,33.86,34.95,205.8448674,194.5261509,15.6039946,112.8169004,62.74459512,70.16998772,65.02803651,26.2663332,131.3143512,47.59734805,45.57563878,37.1075304,18.95814407,26.04837105,30.98910721,37.1974093,38.78832921,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00023_10_2X1_ART_STND_Body_2__resized.nii.gz,437.776,428.486,159.33,679.19,253.69,209.144,131.69,569.93,151.23,576.93,154.88,335.11,67.37,24.196,135.49,43.884,45.724,170.5529385,165.152391,32.1465402,447.9269626,50.75201382,82.1985536,178.6652608,106.3914826,73.76795471,146.9010044,52.80885844,104.52937,25.58042372,34.69153891,56.81866283,33.49216725,27.4719202,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00023_5_1X1_STND_Body_1__resized.nii.gz,103.67,106.2,115.67,119.31,139.94,142.82,59.27,123.37,128.14,121.98,122.93,164.44,105.97,19.084,110.68,83.58,85.54,26.90622153,24.22497966,26.58165532,48.28205463,45.02927917,42.8938186,130.5640345,20.00719179,44.14451129,14.36644398,29.71288107,33.43838053,18.48804225,22.79230351,31.14099446,19.09946895,15.74467716,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00023_8_2x2_ART_STND_Body_2__resized.nii.gz,437.776,428.486,157.51,651.59,240.44,209.144,129.69,565.7,150.02,574.09,155.17,324.27,66.91,24.196,133.25,43.884,45.724,170.5529385,165.152391,32.89560555,411.2854067,47.48365492,82.1985536,181.5774365,105.5102659,73.69055116,141.3582048,49.32872869,93.56003308,20.08489196,34.69153891,57.07492687,33.49216725,27.4719202,1
